System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Plastic_NEW"
Test type,,"Compression"
Sample file name,,"N02DPMMA"
Last test date,,"Monday, September 9, 2024"
Last test time,,"6:04:21 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"PMMA"
Other Information,,""
Crosshead Speed,(mm/min),"5.00"
Geometry,,"Circular"
Diameter,(mm),"19.16"
Length,(mm),"65.17"
Final Diameter,,"0.00"
Final Length,,"0.00"
Final Specimen State,,"BARRELED, BUCKLED, CRACKED INTO MANY PIECES"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"33.30"
Maximum Strain,(%),"48.02"
,,
,,
,,
,,
Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(kN),(mm/mm)
"123.50","10.29","30.84","0.1579"
"124.00","10.33","30.80","0.1586"
"124.50","10.38","30.76","0.1592"
"125.00","10.42","30.71","0.1598"
"125.50","10.46","30.67","0.1605"
"126.00","10.50","30.62","0.1611"
"126.50","10.54","30.58","0.1618"
"127.00","10.58","30.54","0.1624"
"127.50","10.63","30.50","0.1630"
"128.00","10.67","30.45","0.1637"
"128.50","10.71","30.40","0.1643"
"129.00","10.75","30.36","0.1650"
"129.50","10.79","30.32","0.1656"
"130.00","10.83","30.28","0.1662"
"130.50","10.88","30.23","0.1669"
"131.00","10.92","30.19","0.1675"
"131.50","10.96","30.15","0.1682"
"132.00","11.00","30.11","0.1688"
"132.50","11.04","30.07","0.1694"
"133.00","11.08","30.04","0.1701"
"133.50","11.13","30.00","0.1707"
"134.00","11.17","29.97","0.1713"
"134.50","11.21","29.93","0.1720"
"135.00","11.25","29.90","0.1726"
"135.50","11.29","29.86","0.1733"
"136.00","11.33","29.83","0.1739"
"136.50","11.38","29.80","0.1745"
"137.00","11.42","29.77","0.1752"
"137.50","11.46","29.73","0.1758"
"138.00","11.50","29.69","0.1765"
"138.50","11.54","29.66","0.1771"
"139.00","11.58","29.63","0.1777"
"139.50","11.63","29.59","0.1784"
"140.00","11.67","29.55","0.1790"
"140.50","11.71","29.52","0.1797"
"141.00","11.75","29.49","0.1803"
"141.50","11.79","29.45","0.1809"
"142.00","11.83","29.41","0.1816"
"142.50","11.88","29.38","0.1822"
"143.00","11.92","29.35","0.1829"
"143.50","11.96","29.31","0.1835"
"144.00","12.00","29.28","0.1841"
"144.50","12.04","29.24","0.1848"
"145.00","12.08","29.20","0.1854"
"145.50","12.13","29.17","0.1861"
"146.00","12.17","29.14","0.1867"
"146.50","12.21","29.11","0.1873"
"147.00","12.25","29.08","0.1880"
"147.50","12.29","29.05","0.1886"
"148.00","12.33","29.02","0.1893"
"148.50","12.38","28.98","0.1899"
"149.00","12.42","28.95","0.1905"
"149.50","12.46","28.92","0.1912"
"150.00","12.50","28.89","0.1918"
"150.50","12.54","28.85","0.1924"
"151.00","12.58","28.82","0.1931"
"151.50","12.63","28.79","0.1937"
"152.00","12.67","28.75","0.1944"
"152.50","12.71","28.72","0.1950"
"153.00","12.75","28.70","0.1956"
"153.50","12.79","28.66","0.1963"
"154.00","12.83","28.63","0.1969"
"154.50","12.88","28.61","0.1976"
"155.00","12.92","28.58","0.1982"
"155.50","12.96","28.55","0.1988"
"156.00","13.00","28.52","0.1995"
"156.50","13.04","28.50","0.2001"
"157.00","13.08","28.48","0.2008"
"157.50","13.13","28.45","0.2014"
"158.00","13.17","28.42","0.2020"
"158.50","13.21","28.40","0.2027"
"159.00","13.25","28.38","0.2033"
"159.50","13.29","28.35","0.2040"
"160.00","13.33","28.34","0.2046"
"160.50","13.38","28.31","0.2052"
"161.00","13.42","28.29","0.2059"
"161.50","13.46","28.27","0.2065"
"162.00","13.50","28.25","0.2072"
"162.50","13.54","28.23","0.2078"
"163.00","13.58","28.21","0.2084"
"163.50","13.63","28.19","0.2091"
"164.00","13.67","28.17","0.2097"
"164.50","13.71","28.15","0.2104"
"165.00","13.75","28.13","0.2110"
"165.50","13.79","28.11","0.2116"
"166.00","13.83","28.10","0.2123"
"166.50","13.88","28.08","0.2129"
"167.00","13.92","28.06","0.2135"
"167.50","13.96","28.04","0.2142"
"168.00","14.00","28.02","0.2148"
"168.50","14.04","28.00","0.2155"
"169.00","14.08","27.98","0.2161"
"169.50","14.13","27.94","0.2167"
"170.00","14.17","27.92","0.2174"
"170.50","14.21","27.91","0.2180"
"171.00","14.25","27.89","0.2187"
"171.50","14.29","27.88","0.2193"
"172.00","14.33","27.86","0.2199"
"172.50","14.38","27.84","0.2206"
"173.00","14.42","27.83","0.2212"
"173.50","14.46","27.82","0.2219"
"174.00","14.50","27.80","0.2225"
"174.50","14.54","27.79","0.2231"
"175.00","14.58","27.78","0.2238"
"175.50","14.63","27.76","0.2244"
"176.00","14.67","27.75","0.2251"
"176.50","14.71","27.74","0.2257"
"177.00","14.75","27.73","0.2263"
"177.50","14.79","27.71","0.2270"
"178.00","14.83","27.70","0.2276"
"178.50","14.88","27.69","0.2283"
"179.00","14.92","27.68","0.2289"
"179.50","14.96","27.67","0.2295"
"180.00","15.00","27.67","0.2302"
"180.50","15.04","27.66","0.2308"
"181.00","15.08","27.65","0.2314"
"181.50","15.13","27.65","0.2321"
"182.00","15.17","27.65","0.2327"
"182.50","15.21","27.64","0.2334"
"183.00","15.25","27.63","0.2340"
"183.50","15.29","27.63","0.2346"
"184.00","15.33","27.63","0.2353"
"184.50","15.38","27.63","0.2359"
"185.00","15.42","27.63","0.2366"
"185.50","15.46","27.62","0.2372"
"186.00","15.50","27.62","0.2378"
"186.50","15.54","27.61","0.2385"
"187.00","15.58","27.61","0.2391"
"187.50","15.63","27.60","0.2398"
"188.00","15.67","27.59","0.2404"
"188.50","15.71","27.59","0.2410"
"189.00","15.75","27.58","0.2417"
"189.50","15.79","27.58","0.2423"
"190.00","15.83","27.56","0.2430"
"190.50","15.88","27.56","0.2436"
"191.00","15.92","27.56","0.2442"
"191.50","15.96","27.51","0.2449"
"192.00","16.00","27.50","0.2455"
"192.50","16.04","27.49","0.2462"
"193.00","16.08","27.49","0.2468"
"193.50","16.13","27.49","0.2474"
"194.00","16.17","27.48","0.2481"
"194.50","16.21","27.48","0.2487"
"195.00","16.25","27.48","0.2494"
"195.50","16.29","27.47","0.2500"
"196.00","16.33","27.46","0.2506"
"196.50","16.38","27.46","0.2513"
"197.00","16.42","27.45","0.2519"
"197.50","16.46","27.45","0.2525"
"198.00","16.50","27.44","0.2532"
"198.50","16.54","27.44","0.2538"
"199.00","16.58","27.43","0.2545"
"199.50","16.63","27.42","0.2551"
"200.00","16.67","27.42","0.2557"
"200.50","16.71","27.41","0.2564"
"201.00","16.75","27.40","0.2570"
"201.50","16.79","27.39","0.2577"
"202.00","16.83","27.39","0.2583"
"202.50","16.88","27.38","0.2589"
"203.00","16.92","27.37","0.2596"
"203.50","16.96","27.36","0.2602"
"204.00","17.00","27.36","0.2609"
"204.50","17.04","27.35","0.2615"
"205.00","17.08","27.34","0.2621"
"205.50","17.13","27.33","0.2628"
"206.00","17.17","27.32","0.2634"
"206.50","17.21","27.31","0.2641"
"207.00","17.25","27.31","0.2647"
"207.50","17.29","27.31","0.2653"
"208.00","17.33","27.30","0.2660"
"208.50","17.38","27.29","0.2666"
"209.00","17.42","27.29","0.2673"
"209.50","17.46","27.29","0.2679"
"210.00","17.50","27.27","0.2685"
"210.50","17.54","27.26","0.2692"
"211.00","17.58","27.22","0.2698"
"211.50","17.63","27.21","0.2705"
"212.00","17.67","27.20","0.2711"
"212.50","17.71","27.19","0.2717"
