System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D304"
Last test date,,"Monday, September 16, 2024"
Last test time,,"5:19:06 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"304"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.20"
Grip Diameter,(mm),"12.88"
Rockwell Hardness,,"100.6"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"3.87"
Fracture Notes and Location,,"VERY DUCTILE CUP CONE STRUCTURE. SAMPLE BECAME MAGNETIC AT FAIL SURFACE WHERE IT WASN'T BEFORE"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.78"
Maximum Strain,(%),"50.26"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"125.00","8.33","26.28","0.09797"
"125.50","8.37","26.29","0.09858"
"126.00","8.40","26.31","0.09924"
"126.50","8.43","26.33","0.09984"
"127.00","8.47","26.33","0.1005"
"127.50","8.50","26.35","0.1011"
"128.00","8.53","26.36","0.1017"
"128.50","8.57","26.37","0.1023"
"129.00","8.60","26.39","0.1030"
"129.50","8.63","26.40","0.1036"
"130.00","8.67","26.42","0.1042"
"130.50","8.70","26.43","0.1048"
"131.00","8.73","26.44","0.1055"
"131.50","8.77","26.45","0.1061"
"132.00","8.80","26.47","0.1067"
"132.50","8.83","26.49","0.1073"
"133.00","8.87","26.50","0.1079"
"133.50","8.90","26.52","0.1085"
"134.00","8.93","26.53","0.1092"
"134.50","8.97","26.54","0.1098"
"135.00","9.00","26.55","0.1104"
"135.50","9.03","26.56","0.1111"
"136.00","9.07","26.59","0.1117"
"136.50","9.10","26.60","0.1123"
"137.00","9.13","26.60","0.1129"
"137.50","9.17","26.62","0.1136"
"138.00","9.20","26.63","0.1142"
"138.50","9.23","26.65","0.1148"
"139.00","9.27","26.67","0.1154"
"139.50","9.30","26.68","0.1160"
"140.00","9.33","26.69","0.1167"
"140.50","9.37","26.70","0.1173"
"141.00","9.40","26.72","0.1179"
"141.50","9.43","26.72","0.1186"
"142.00","9.47","26.74","0.1192"
"142.50","9.50","26.75","0.1198"
"143.00","9.53","26.76","0.1204"
"143.50","9.57","26.78","0.1211"
"144.00","9.60","26.79","0.1217"
"144.50","9.63","26.81","0.1223"
"145.00","9.67","26.81","0.1230"
"145.50","9.70","26.82","0.1236"
"146.00","9.73","26.84","0.1242"
"146.50","9.77","26.85","0.1249"
"147.00","9.80","26.86","0.1255"
"147.50","9.83","26.87","0.1261"
"148.00","9.87","26.88","0.1268"
"148.50","9.90","26.89","0.1273"
"149.00","9.93","26.91","0.1280"
"149.50","9.97","26.92","0.1286"
"150.00","10.00","26.93","0.1292"
"150.50","10.03","26.95","0.1298"
"151.00","10.07","26.95","0.1305"
"151.50","10.10","26.96","0.1311"
"152.00","10.13","26.98","0.1318"
"152.50","10.17","26.99","0.1324"
